name,code,barcode_symbology,brand,category_code,unit,sale_unit,purchase_unit,cost,price,alert_quantity,tax_rate,tax_method,image,subcategory_code,variants,mrp,hsn_code,warehouse,quantity
SMK Stellar Swank Matt White MA124,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Swank Matt Anthracite Orange MADA672,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Dynamo Matt Black Blue MA254,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Dynamo Matt White Blue MA153,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Dynamo Matt Black Red MA236,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Dynamo Matt Black White MA216,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Rainstar White Blue Red GL153,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Rainstar Black White Red MA213,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Rainstar Black Yellow MA264,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Rainstar Black Red MADA623,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Trek Black Grey Fluoroscent Yellow MA264,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Trek Black Fluoroscent Yellow MA243,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Trek Black Red MA275,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
SMK Stellar Unicolour White GL100,,code128,,HA1,pcs,pcs,pcs,0,3500,,18%GST,Inclusive,,,,3500,,Ware house 1-1,0
SMK Stellar Unicolour Matt Black MA200,,code128,,HA1,pcs,pcs,pcs,0,3500,,18%GST,Inclusive,,,,3500,,Ware house 1-1,0
SMK Stellar Unicolour Glosst Black GL200,,code128,,HA1,pcs,pcs,pcs,0,3500,,18%GST,Inclusive,,,,3500,,Ware house 1-1,0
SMK Derby Grid Open Face Helmet MA266,,code128,,HA1,pcs,pcs,pcs,0,2950,,18%GST,Inclusive,,,,2950,,Ware house 1-1,0
SMK Sirius Open Face Helmet GL149,,code128,,HA1,pcs,pcs,pcs,0,3150,,18%GST,Inclusive,,,,3150,,Ware house 1-1,0
Studds Chrome Eco Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,895,,18%GST,Inclusive,,,,895,,Ware house 1-1,0
Studds Professional Full Face Helmet ,,code128,,HA1,pcs,pcs,pcs,0,1050,,18%GST,Inclusive,,,,1050,,Ware house 1-1,0
Studds Premium Vent Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1065,,18%GST,Inclusive,,,,1065,,Ware house 1-1,0
Studds Chrome Elite Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,950,,18%GST,Inclusive,,,,950,,Ware house 1-1,0
Studds Downtown Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1750,,18%GST,Inclusive,,,,1750,,Ware house 1-1,0
Studds Downtown Silver Grey Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1850,,18%GST,Inclusive,,,,1850,,Ware house 1-1,0
Studds Marshall Plain Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1150,,18%GST,Inclusive,,,,1150,,Ware house 1-1,0
Studds Marshall Tricolour Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1250,,18%GST,Inclusive,,,,1250,,Ware house 1-1,0
Studds Cub Plain Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1050,,18%GST,Inclusive,,,,1050,,Ware house 1-1,0
Studds Jetstar Captain America Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1095,,18%GST,Inclusive,,,,1095,,Ware house 1-1,0
Studds Jetstar Vintage Long Visor Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1395,,18%GST,Inclusive,,,,1395,,Ware house 1-1,0
Studds FEMM 540 Open Face Helmet Pink,,code128,,HA1,pcs,pcs,pcs,0,825,,18%GST,Inclusive,,,,825,,Ware house 1-1,0
Studds Ninja 3G Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2045,,18%GST,Inclusive,,,,2045,,Ware house 1-1,0
Studds Ninja 2G Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1650,,18%GST,Inclusive,,,,1650,,Ware house 1-1,0
